Date	Q	M_Debit_x	"	P"	M_Debit_y
1923-01-08	0.2257537183438296	0.42	0.0	0.06
1923-01-09	0.21880745008709634	0.91	0.0	0.89
1923-01-10	0.21880745008709634	0.95	0.0	0.85
1923-01-11	0.21186118183036315	0.71	0.0	0.21
1923-01-12	0.21186118183036315	0.75	0.0	0.28
1923-01-13	0.21186118183036315	0.29	0.0	0.38
1923-01-14	0.21186118183036315	0.92	0.0	0.82
1923-01-15	0.21186118183036315	0.47	0.0	0.06
1923-01-16	0.21186118183036315	0.98	0.0	0.0
1923-01-17	0.21186118183036315	0.42	2.0	0.48
1923-01-18	0.21186118183036315	0.93	0.0	0.37
1923-01-19	0.21186118183036315	0.91	0.0	0.13
1923-01-20	0.5256009647594801	0.28	0.0	0.05
1923-01-21	0.5533860377864129	0.88	0.0	0.4
1923-01-22	0.5256009647594801	0.74	0.0	0.24
1923-01-23	0.42140694090848185	0.32	0.0	0.83
1923-01-24	0.2986895350395284	0.99	0.0	0.43
1923-01-25	0.26627361650810666	0.48	0.0	0.64
1923-01-26	0.2419616776095404	0.27	0.0	0.72
1923-01-27	0.2257537183438296	0.8	0.0	0.55
1923-01-28	0.21186118183036315	0.49	0.0	0.97
1923-01-29	0.21186118183036315	0.61	0.0	0.29
1923-01-30	0.21186118183036315	0.35	0.0	0.44
1923-01-31	0.21186118183036315	0.47	0.0	0.44
1923-02-01	0.21186118183036315	0.32	0.0	0.25
1923-02-02	0.2049149135736299	0.17	0.0	0.08
1923-02-03	0.2049149135736299	0.09	0.0	0.91
1923-02-04	0.2049149135736299	0.65	0.0	0.45
1923-02-05	0.19796864531689673	0.92	0.0	0.73
1923-02-06	0.19796864531689673	0.01	0.0	0.31
1923-02-07	0.19796864531689673	0.63	0.0	0.03
1923-02-08	0.19102237706016348	0.52	0.0	0.27
1923-02-09	0.19102237706016348	0.49	0.0	0.78
1923-02-10	0.19102237706016348	0.05	0.0	0.93
1923-02-11	0.19102237706016348	0.41	0.0	0.62
1923-02-12	0.19102237706016348	0.48	0.0	0.25
1923-02-13	0.19102237706016348	0.33	0.0	0.83
1923-02-14	0.19102237706016348	0.63	0.0	0.23
1923-02-15	0.19102237706016348	1.0	0.0	0.46
1923-02-16	0.19102237706016348	0.12	0.0	0.09
1923-02-17	0.19796864531689673	0.91	0.0	0.82
1923-02-18	0.19102237706016348	0.21	15.3	0.87
1923-02-19	0.19102237706016348	0.66	0.0	0.45
1923-02-20	0.18407610880343028	0.47	0.0	0.31
1923-02-21	0.18407610880343028	0.83	0.0	0.16
1923-02-22	0.18407610880343028	0.74	0.0	0.26
1923-02-23	0.18407610880343028	0.13	0.0	0.81
1923-02-24	0.19102237706016348	0.36	0.0	0.13
1923-02-25	0.19102237706016348	0.93	0.0	0.16
1923-02-26	0.18407610880343028	0.9	0.0	0.17
1923-02-27	0.18407610880343028	0.41	0.0	0.85
1923-02-28	0.1701835722899638	0.06	0.0	0.6
1923-03-01	0.2049149135736299	0.18	0.0	0.81
1923-03-02	0.18407610880343028	0.0	0.0	0.42
1923-03-03	0.1701835722899638	0.23	0.0	0.25
1923-03-04	0.1701835722899638	0.27	0.0	0.56
1923-03-05	0.1701835722899638	0.04	0.0	0.12
1923-03-06	0.1701835722899638	0.1	0.0	0.89
1923-03-07	0.16439501540935283	0.24	0.0	0.28
1923-03-08	0.16439501540935283	0.28	0.0	0.17
1923-03-09	0.1586064585287418	0.37	0.0	0.72
1923-03-10	0.1586064585287418	0.16	0.0	0.7
1923-03-11	0.1586064585287418	0.88	0.0	0.85
1923-03-12	0.16439501540935283	0.39	0.0	0.73
1923-03-13	0.1586064585287418	0.38	0.0	0.57
1923-03-14	0.1586064585287418	0.19	0.0	0.53
1923-03-15	0.1586064585287418	0.14	0.0	0.58
1923-03-16	0.1586064585287418	0.17	0.0	0.36
1923-03-17	0.15281790164813078	0.44	0.0	0.64
1923-03-18	0.15281790164813078	0.88	0.0	0.03
1923-03-19	0.1586064585287418	0.14	11.5	0.15
1923-03-20	0.1586064585287418	0.34	15.3	0.01
1923-03-21	0.1586064585287418	0.73	0.0	0.01
1923-03-22	0.16439501540935283	0.67	0.0	0.71
1923-03-23	0.16439501540935283	0.48	0.0	0.41
1923-03-24	0.16439501540935283	0.1	0.0	0.84
1923-03-25	0.1586064585287418	0.79	0.0	0.38
1923-03-26	0.1586064585287418	1.0	0.0	0.14
1923-03-27	0.15281790164813078	0.54	0.0	0.16
1923-03-28	0.14702934476751975	0.2	0.0	0.78
1923-03-29	0.14702934476751975	0.78	6.45	0.0
1923-03-30	0.15281790164813078	0.35	0.0	0.99
1923-03-31	0.15281790164813078	0.78	0.0	0.22
1923-04-01	0.1586064585287418	0.24	0.0	0.29
1923-04-02	0.16439501540935283	0.8	6.5	0.85
1923-04-03	0.16439501540935283	0.34	0.0	0.66
1923-04-04	0.1701835722899638	0.02	0.0	0.71
1923-04-05	0.1701835722899638	0.68	6.0	0.88
1923-04-06	0.17712984054669706	0.24	14.0	0.17
1923-04-07	0.2581696368752513	0.18	0.0	0.63
1923-04-08	0.2257537183438296	0.03	0.0	0.54
1923-04-09	0.19102237706016348	0.76	0.0	0.74
1923-04-10	0.19796864531689673	0.68	0.0	0.44
1923-04-11	0.3264746080664612	0.67	0.0	0.61
1923-04-12	0.7884014471392202	0.93	14.7	0.12
1923-04-13	1.0430979498861048	0.54	3.0	0.05
1923-04-14	1.1102452097011926	0.07	1.4	0.12
1923-04-15	1.0129974541069275	0.56	0.0	0.02
1923-04-16	0.9157496985126624	0.53	0.0	0.98
1923-04-17	0.6980999598016884	0.45	0.0	0.26
1923-04-18	0.5256009647594801	0.39	0.0	0.76
1923-04-19	0.3264746080664612	0.16	19.1	0.47
1923-04-20	0.3496288355889053	0.68	0.0	0.17
1923-04-21	0.9157496985126624	0.35	0.0	0.99
1923-04-22	1.0430979498861048	0.81	0.0	0.21
1923-04-23	0.6691571753986333	0.73	0.0	0.86
1923-04-24	0.47234624145785875	0.51	0.0	0.48
1923-04-25	0.44687659118317036	0.46	0.0	0.29
1923-04-26	0.42140694090848185	0.44	0.0	0.97
1923-04-27	0.39593729063379346	0.52	0.0	0.89
1923-04-28	0.582328822189468	0.8	28.0	0.9
1923-04-29	0.582328822189468	0.75	0.0	0.3
1923-04-30	0.5533860377864129	0.82	0.0	0.16
1923-05-01	0.7884014471392202	0.22	0.0	0.83
1923-05-02	0.5533860377864129	0.17	4.6	0.9
1923-05-03	0.5672785742998795	0.4	0.0	0.57
1923-05-04	0.582328822189468	0.46	3.7	0.18
1923-05-05	0.6112716065925231	0.58	0.0	0.78
1923-05-06	0.6402143909955782	0.98	5.5	0.91
1923-05-07	0.49897360310866945	0.3	40.05	0.1
1923-05-08	1.586064585287418	0.58	11.75	0.33
1923-05-09	3.0100495779177274	0.86	28.05	0.42
1923-05-10	3.496288355889053	0.29	0.0	0.6
1923-05-11	2.894278440305507	0.97	4.7	0.39
1923-05-12	3.0100495779177274	0.19	0.0	0.01
1923-05-13	2.5585421412300686	0.13	3.9	0.4
1923-05-14	2.408039662334182	0.38	0.0	0.04
1923-05-15	2.245960069677074	0.12	12.0	0.07
1923-05-16	2.350154093528072	0.37	0.0	0.63
1923-05-17	1.5050247889588637	0.92	0.0	0.06
1923-05-18	1.4124078788690877	0.45	0.0	0.24
